word,surprisal,avg_rt
right,11.7883,321.9892857142857
here,11.7693,290.4215384615385
where,12.7649,241.2875
you,7.5053,257.8442857142857
he,12.0991,307.4707142857142
aim,15.3799,252.71499999999997
to,5.87028,253.01785714285714
have,7.30558,229.29785714285708
breathing,15.9492,336.5478571428571
down,2.84292,270.7523076923077
my,12.6139,283.17285714285714
neck,9.60725,247.42857142857136
when,10.0106,259.53499999999997
The,2.68215,271.0369230769231
stranger,17.7505,304.03357142857146
ignored,14.7829,306.4715384615384
He,5.6328,294.74615384615385
stop,13.6703,269.1435714285714
till,16.8117,238.93285714285707
he,3.96339,242.8485714285714
was,4.78926,252.30428571428567
within,12.2217,278.50500000000005
three,5.38446,304.6764285714285
feet,14.3026,261.60785714285714
of,4.57398,241.40285714285716
Blue,16.1819,235.40714285714284
and,5.48786,306.1392857142857
by,8.89071,243.30071428571426
that,9.28135,248.83999999999997
time,3.23012,247.20785714285716
the,6.28885,269.4371428571429
gang,14.8569,226.82999999999998
right,11.3807,277.9657142857142
hand,9.2994,294.21071428571435
was,8.73523,260.71857142857135
on,8.20404,225.7692857142857
the,2.36755,229.33000000000007
butt,17.0543,228.3364285714286
of,3.54835,290.58214285714286
his,6.87526,265.2842857142858
Billy,17.4543,268.5878571428571
said,9.3458,395.5153846153846
the,1.84433,272.6215384615385
come,13.3724,281.01928571428573
for,9.27627,280.3321428571429
Pat,17.0685,274.29285714285714
what,12.6314,291.46642857142854
makes,8.35968,265.2321428571429
you,8.04964,238.46714285714282
think,6.32673,260.6278571428572
going,12.9535,278.6735714285714
to,1.78021,239.32357142857137
get,4.8117,246.29692307692306
pretty,13.7587,260.17714285714294
Most,8.4526,281.35999999999996
of,1.54101,290.1678571428571
the,0.626831,238.60142857142856
time,10.6985,248.62285714285716
I,10.841,227.20142857142855
get,7.92683,242.01714285714291
what,10.2717,260.78499999999997
I,5.31684,284.13642857142855
ask,11.2962,256.50461538461536
Blue,14.6762,236.15214285714288
at,9.9831,246.19142857142853
his,7.90217,250.6864285714286
six,12.5801,255.15142857142857
kid,17.4543,268.79692307692306
has,8.63511,245.7457142857143
no,6.88033,262.6164285714286
we,14.2223,241.50571428571428
teach,11.1433,228.09785714285712
him,11.2123,223.28285714285713
His,8.53094,248.9328571428571
gun,17.4257,254.66714285714284
was,8.29811,227.1385714285714
half,13.2527,231.08285714285714
drawn,15.9663,252.90857142857143
when,10.1546,237.21071428571423
he,4.13385,269.52
asked,8.707,229.01615384615383
the,3.42277,231.35999999999996
but,10.904,243.31142857142854
the,5.9996,336.0376923076923
weapon,16.2197,268.7807142857143
never,12.6064,312.6542857142857
left,9.20179,261.2135714285714
its,9.5314,248.15642857142862
fist,17.8942,336.38
swept,16.833,280.36571428571426
over,9.98084,295.505
in,9.71944,265.8323076923077
a,4.48337,271.4985714285714
terrific,15.9461,272.515
right,12.0411,269.30384615384617
cross,15.4856,292.19000000000005
and,6.51932,308.92928571428575
the,6.02502,286.14142857142855
big,9.9281,260.9253846153846
on,7.28026,306.51214285714286
the,2.31518,287.6557142857143
side,10.939,253.40076923076919
of,1.68939,243.07428571428568
his,7.7964,241.8585714285714
His,8.53094,271.7914285714285
head,13.2448,267.28999999999996
snapped,15.8612,261.84714285714284
round,15.1171,333.9378571428571
and,7.7161,289.10785714285714
he,10.4645,309.3023076923077
reeled,18.0559,298.17428571428576
crashing,17.1324,339.5271428571429
into,9.71828,280.26428571428573
the,2.33354,254.2357142857143
table,13.0289,278.1184615384616
where,11.9508,294.98928571428576
his,7.5053,326.0785714285715
were,9.79776,260.04
on,6.98106,292.645
to,8.1293,241.24714285714285
dragged,16.9363,319.93928571428575
him,11.2578,266.81714285714287
and,5.48786,312.34846153846155
